gene,mi_score,rf_importance,combined_score
group_11313,0.010084332484195296,0.00020237274959824137,0.026275755886417673
group_8048,0.009196791574932195,0.0002917863093515967,0.026263507132922054
group_2345,0.009141188407811973,0.00029638167892752885,0.026241152082201825
group_24942,0.01118468256487505,8.812705390349642e-05,0.026218148326620134
group_17871,0.012053677299385251,0.0,0.02621765759929647
traQ_1,0.011934768302035173,1.1848856684857543e-05,0.026213219134419253
group_9107,0.009175010244082682,0.0002904212861578439,0.026186846775647137
finO,0.009531662905482269,0.000253627498208816,0.026173243499885278
gsiD,0.010885652702135512,0.00011633966695439561,0.026172990648531454
group_20978,0.012008601874925126,0.0,0.026119615137811834
group_911,0.00934040807392348,0.00026989534712003137,0.026106249531446336
group_9815,0.011994834684502909,0.0,0.0260896704561391
eivJ,0.01199386401892616,0.0,0.02608755918500715
group_8304,0.008910523463161457,0.00031204252345814614,0.026075415859197808
group_18619,0.011980023444653903,0.0,0.02605745488790368
glpK_1,0.011965755103245435,0.0,0.026026420164886772
group_3560,0.010943473274347762,0.0001030026950651551,0.02601263211421986
group_14520,0.011934768302035173,0.0,0.02595902152581513
group_10142,0.010525208198868152,0.00014264810310273693,0.02595340051298632
group_21530,0.011751374103829135,1.753150793971181e-05,0.02593623474307385
group_9406,0.006995800998735757,0.0004990912471449823,0.02592357028299236
essD_2,0.011522015825782772,3.9858710776531135e-05,0.025916356302553217
group_3228,0.011244230171402664,6.767253892305096e-05,0.025908851116262323
group_24938,0.011908129950518653,0.0,0.025901081094108647
traP,0.011095720910379511,8.21124772870322e-05,0.025895617205261894
group_7540,0.01143293854378477,4.757907917006959e-05,0.025888234194492835
group_20643,0.01111032141329138,7.989079319401699e-05,0.02587971184969371
group_7280,0.011566018148922011,3.317127067870804e-05,0.025868596728786213
group_6712,0.00940675281517142,0.00025137192793267234,0.025853165067808496
group_25673,0.010844979566502766,0.0001024216843129739,0.025785936217304704
group_7861,0.010001391792081649,0.00018495083503161828,0.02572159525924194
group_18328,0.009692922788093,0.00021618389128724908,0.02572070534385618
ygcG,0.011821915057139976,0.0,0.025713557172487935
mxiC,0.011821290205231094,0.0,0.025712198072269935
yhaO,0.008560476637343384,0.00032995576825902806,0.025698336524351557
group_19860,0.011428698602139187,3.804133911450563e-05,0.02567439557379455
sppA_1,0.011404099749976887,4.0484872883410626e-05,0.025673313180232676
hcpA_1,0.011801828657345054,0.0,0.02566986773191482
group_14138,0.01000266770485661,0.00018218543789023524,0.02566504344760787
elaA,0.009067802171376094,0.00027574453088564314,0.025638795607089346
yedO,0.011442093382978497,3.364774067669466e-05,0.02560927285398106
chbC_2,0.010002292377625371,0.00017800008902849374,0.025574437349987024
group_26333,0.011751374103829135,0.0,0.02556012525740557
group_21529,0.011751374103829135,0.0,0.02556012525740557
group_24936,0.011730654558575249,0.0,0.025515058677515006
dmlR_5,0.011725222750613454,0.0,0.02550324408388079
nepI_1,0.011725222750613454,0.0,0.02550324408388079
group_20982,0.011725222750613454,0.0,0.02550324408388079
group_14034,0.009234618746538803,0.0002508378366682168,0.025467302389800585
traF_1,0.010898463906816855,8.192638050672932e-05,0.025462575887052606
ytfA,0.00836903557061433,0.00033801954815124375,0.025454932758431595
fliN_1,0.010635630642773189,0.00010778835504207674,0.02544571949336775
group_18613,0.011689229640357263,0.0,0.025424956343537346
group_21119,0.011686421542473402,0.0,0.025418848518000015
group_12613,0.011656785469637748,0.0,0.025354387815425473
group_10872,0.007843211991203608,0.00038613219910487405,0.025343403948659436
group_10882,0.009686085745993264,0.00019898383298572463,0.025336835477284228
group_14014,0.0013043159555695127,0.001048217812683439,0.025324760912884405
espR3_1,0.011334244752367967,3.0637528188379805e-05,0.02531011478909131
group_20961,0.011636291726911899,0.0,0.025309812373132023
dicA_1,0.011390332992027647,2.4679023788705447e-05,0.025304281107858075
group_1653,0.008497242269917049,0.00031767391389850725,0.0252973101297889
tnpA,0.010952019397294538,6.854634259693604e-05,0.025292016566809523
ybaQ,0.01033462366700294,0.00013110939405051124,0.025291320819903297
group_13771,0.009161460871041444,0.00024709701806043655,0.025227925399164436
group_14372,0.0115962411568227,0.0,0.025222699350405383
group_3999,0.01000266770485661,0.0001611269020604463,0.025213267416298653
group_9869,0.0046050239915596605,0.0007036283407338116,0.025111454058099364
group_18329,0.009692922788093,0.0001876389963865639,0.025108321869686624
group_12229,0.01046076293665929,0.00010955430886315416,0.02510325460723978
espC,0.010468791118140766,0.00010835525725015937,0.025094992842133488
group_20604,0.009380688457207853,0.00021835187167453261,0.02508808246148946
group_20555,0.01153001742326229,0.0,0.025078657715196625
lafT,0.011520883972933715,0.0,0.025058791769112118
group_17656,0.011439472481492435,7.549059003823974e-06,0.025043668176581102
gatC2,0.009133608099680918,0.00024082545422434597,0.02503279749057753
group_11935,0.011497781863438833,0.0,0.025008542931580495
fes_2,0.006959786758833797,0.0004599581386738577,0.025005700512769045
group_3732,0.008674946588593108,0.00028543135621946907,0.024992119770448212
group_21304,0.009389510277972607,0.00021298291301531002,0.02499208846804343
aafB,0.011481776671653367,0.0,0.024973730427472654
sphX,0.011479753690063974,0.0,0.024969330289327806
group_26332,0.011479753690063974,0.0,0.024969330289327806
garP,0.008433228993996733,0.00030809973882606553,0.02495267832779526
btuB,0.009504187274903264,0.00019935701639344833,0.0249491985609545
group_18656,0.01049150040744834,9.766412940496072e-05,0.024915026813454148
group_20943,0.011451686545020393,0.0,0.024908282123506244
group_20942,0.011451686545020393,0.0,0.024908282123506244
mtlK,0.008091037567409115,0.0003406567839063834,0.024906843578506574
group_16885,0.009862458388178091,0.00016000278755617852,0.024884185519218983
wcaD,0.008276019023615064,0.00032026304082519933,0.024871678250043265
group_8230,0.011421068398020456,0.0,0.02484168533525797
lysP_2,0.011409480348701682,0.0,0.024816480450498137
group_10069,0.009817010495539069,0.00016098992441100843,0.024806510298606813
group_9813,0.00948272834168886,0.00019413230309497915,0.024790436180097138
ctfA,0.006737590403407906,0.000471203263081436,0.024763652146017508
group_8589,0.011382232395828577,0.0,0.024757214089679732
yliI,0.01019908309294823,0.00011953351935039427,0.02474816857573653
group_3224,0.011374792020356517,0.0,0.02474103070961426
group_16660,0.011366884933424443,0.0,0.024723832196782078
betT,0.009463450700254367,0.00019293395689447184,0.024722797315904422
yadL,0.01093594122342309,4.266209647199293e-05,0.0247017416626941
invF,0.011356034924417294,0.0,0.02470023260558727
glpT_2,0.008027081952459936,0.0003363390049319474,0.024675104471679303
cse2,0.011336185797778037,0.0,0.024657059252094958
espR3_2,0.011334173321809554,0.0,0.024652681964471117
group_11094,0.005912885320081579,0.0005496404505843145,0.024652596172951628
group_3128,0.010678223246407471,6.645503703659149e-05,0.024651623706352082
group_6670,0.009038916140974532,0.00023256893436221512,0.024649705342044272
ykgF,0.009314747055704758,0.0002044586916616248,0.02464659973792762
group_15538,0.004232573883534346,0.0007187724506626466,0.024626238682628462
csy3,0.01131441639824815,0.0,0.024609709159655106
group_543,0.007893777182022471,0.00034643464336903953,0.02460174171455758
glcF,0.010616078128288853,6.95252969131833e-05,0.024582320712506264
group_8119,0.00801778368218145,0.0003319557609806271,0.024560844785649308
group_1362,0.008155719873048028,0.00031589722104990976,0.02451635705083089
hicB,0.011260933397986367,0.0,0.02449337958414801
group_2996,0.00995091662393191,0.00013125820456788058,0.024459921428803457
group_18245,0.007354490159208776,0.00039398495964201966,0.024448864936052216
group_14454,0.011236746462387676,0.0,0.02444077116769341
pppA,0.007242265523776492,0.0004029207768905002,0.024396471024905317
group_6147,0.009501063671083873,0.0001734722171323404,0.024387088961051087
group_15877,0.011210446999550178,0.0,0.024383567844525753
group_17148,0.01118468256487505,0.0,0.024327528248125632
group_15397,0.010678223246407471,5.08385600276136e-05,0.02431659803964986
group_6750,0.01116556141873827,0.0,0.02428593830735168
group_11110,0.01116556141873827,0.0,0.02428593830735168
group_16705,0.010777361191722623,3.912823451777723e-05,0.024281004926282265
yjgL_1,0.011160749884633045,0.0,0.024275472856325014
ybgP,0.011154343735344546,0.0,0.02426153899652436
group_20642,0.010770166891437727,3.813483842307066e-05,0.024244045109384747
uxuR,0.009129156422918616,0.00020339754789422407,0.024220160974800533
group_12142,0.009348030403553975,0.00018071950079483713,0.02420970849158561
tnpR_1,0.007950416279832277,0.0003218859550629398,0.0241982845652415
group_16732,0.009513251032816833,0.00016266131329620902,0.024181667347497396
group_1661,0.010548001323277378,5.576145969641418e-05,0.0241389681602229
group_242,0.00891817221206681,0.0002207769767560417,0.024134101220429856
group_6805,0.010416603955628559,6.840520646354368e-05,0.0241244195953359
group_18351,0.0075773867167168996,0.0003542278641690257,0.024080759147577045
group_10463,0.0077364225891284055,0.00033678624444461624,0.02405249313009078
yddA,0.006431209427821022,0.00046872226278584677,0.024044024568846585
group_25710,0.011051128180690872,0.0,0.024037037349275314
group_6161,0.01104699549318211,0.0,0.024028048441000822
group_11309,0.009842645784271908,0.00012109004624952099,0.024006283146910595
fecE,0.011036939443938909,0.0,0.024006175772414276
ybgQ,0.011024750906566294,0.0,0.023979664780666085
group_18096,0.010195689276469438,8.36819393641444e-05,0.023971650458841365
hha_2,0.0037771594259170815,0.0007338201151448784,0.02395850048699089
pptE,0.009887582148956353,0.00011200276545303108,0.023909070574126758
group_6075,0.010595584095617006,3.915561958601389e-05,0.023886213478707063
hdeD,0.009089742158108455,0.00019113773424762025,0.02387141795421402
yhdJ_1,0.010971554304631079,0.0,0.02386395814320645
yjhD,0.0062993160686882765,0.0004731071703974972,0.023851217460414735
group_6005,0.010418182707207235,5.533889746343731e-05,0.02384753746660031
shiA_1,0.01002736466326809,9.322041180868743e-05,0.023810163817691576
group_20993,0.01049150040744834,4.4758304020447706e-05,0.02378001989661319
group_15284,0.009786594825739181,0.0001157331059492815,0.023769443780076976
group_24388,0.010922900492865123,0.0,0.023758132418362436
group_26318,0.009341570286599585,0.00015970041420155704,0.023744727534790896
group_26305,0.009580167236305948,0.00013467257918058206,0.023726763192184988
group_21305,0.009161460871041444,0.0001764363136189181,0.02371201693904513
feaR,0.00912151378654577,0.00017836593228076405,0.023666525779912996
group_6792,0.007246802769662233,0.0003681835353095963,0.0236611098553191
yqjZ,0.007820231989795326,0.00030998330938636955,0.023659772313965075
manC,0.005170381645599208,0.0005779203457850647,0.023644292799949312
group_10023,0.008512382013571657,0.00023881374642450832,0.023638425850491706
cfaD,0.010862113680503035,0.0,0.02362591649846454
group_20726,0.010268014327238291,6.002104870998453e-05,0.023621357674200677
group_7138,0.007383440309529532,0.00035094924499815623,0.023588573677856745
group_3892,0.008945774933414835,0.00019224383600231429,0.023582007921144253
mbtB,0.008210178939977608,0.0002666935847067794,0.023579227066636177
gabR,0.010826513611797872,0.0,0.023548483653257193
sucD_2,0.008342378615533746,0.00025128797373068354,0.023536269486656297
group_14368,0.010818759016659935,0.0,0.02353161682162452
group_15578,0.010818759016659935,0.0,0.02353161682162452
mamA,0.008460802644817828,0.00023884660353223707,0.02352694171252774
group_17033,0.010810149116030177,0.0,0.02351288963578013
group_830,0.009143204005778935,0.00016884773035031854,0.023509506380793126
group_16512,0.010569912476617996,2.362129897766118e-05,0.023497112626323337
group_17134,0.004533085603409093,0.0006356712574057383,0.02349707587240762
group_10959,0.010702338775447323,9.862143454771738e-06,0.02348996994575035
ygjO,0.010724809738135527,7.075178778396609e-06,0.023479056276882106
agp,0.007191564523710475,0.0003640752847076911,0.023452826770606727
galP,0.010772746075605022,0.0,0.023431535190553875
group_24398,0.010770166891437727,0.0,0.0234259252696843
group_2112,0.008036341212744963,0.00027708266237984433,0.023423997312297606
group_9092,0.00948151247978063,0.00013038868215333986,0.023420277705975177
group_26399,0.010767511941941657,0.0,0.0234201505534874
group_21566,0.010767511941941657,0.0,0.0234201505534874
nrdF,0.010763734060929536,0.0,0.02341193337621041
ddpD,0.008588328804833706,0.0002199855418692073,0.023399687907133183
group_18652,0.006009189804331502,0.0004813197655190749,0.02339635850126843
fecC,0.010703793917390014,4.985473514134676e-06,0.02338851410768149
group_18333,0.01074220691289307,0.0,0.02336511019911296
group_2853,0.010734549774847307,0.0,0.02334845534403559
nrdE,0.009904110317657644,8.194446749057758e-05,0.023300169560669232
group_13768,0.010712244014849187,0.0,0.023299938626962058
group_15504,0.00978971072585983,9.301237048289763e-05,0.023288785325455447
ygbN,0.00812219506090664,0.00026168880672903616,0.023280486239298417
fecA_1,0.00790872894728778,0.00028332089277607225,0.023280261879617094
group_7557,0.00613330342924881,0.00046305152947005517,0.023274400265960803
group_27991,0.006039978956968804,0.0004717101934362734,0.023257169775920666
group_532,0.009116766101002372,0.00015890033971396953,0.023238597134190277
iolC_2,0.010682666540967528,0.0,0.02323560538154979
rbsB_1,0.004042884035503375,0.0006713534239738569,0.023196352166850266
group_17038,0.010662850577245031,0.0,0.023192504159912655
gntT,0.010069978242125618,5.9737470721954695e-05,0.023184530496658765
group_18880,0.010657042417001467,0.0,0.023179870971566752
group_20994,0.00951106279245674,0.00011569619132953914,0.023169348801278765
dmsA_1,0.008644653881188763,0.00020330709353156347,0.02316439070951326
gutB_3,0.009014733730032143,0.0001656298742396693,0.02316104002594503
N_1,0.00969689990515711,9.42262585148808e-05,0.023112956721002196
group_16710,0.009602706801146,0.00010339033044293451,0.023104679582468774
group_10197,0.0013311152099092366,0.000941843955041769,0.023100976268814633
dppB_2,0.009697923048065132,9.352150197692382e-05,0.023100062749255457
intI_1,0.0055695610811045335,0.000512005818993731,0.02309845122532561
dmsB_1,0.008404236448584401,0.0002243389355950616,0.023092667949005018
group_14394,0.01061551641272264,0.0,0.023089548767752138
traK,0.010605565664194683,0.0,0.023067905136195024
group_438,0.010443345006484334,1.6163325214309934e-05,0.02306182031154005
scsD,0.00601000491238482,0.0004643015663336445,0.023033034127062188
lafV,0.008623441143108285,0.00019906742302420828,0.02302729628441025
group_7870,0.008207226836929742,0.00024077392806478727,0.02301674268648466
group_16708,0.010255341899123638,3.1886400845308334e-05,0.022990211880416403
appY,0.008866102085897207,0.00017268412639350868,0.02298909224914817
group_10809,0.009771126262915125,8.03898990640016e-05,0.02297756847898519
group_4697,0.010046504711286236,5.199442580490945e-05,0.022967359576740093
group_12383,0.008910488220882556,0.00016656729080785008,0.022954408870585752
dgoA_3,0.008067027068223154,0.00025106154875076224,0.022932501447403334
group_6417,0.009399428635162521,0.00011552353482976594,0.022922831996366497
group_19288,0.004422329447545031,0.0006183347532519575,0.0228842468443222
group_12296,0.010514403554044288,0.0,0.022869620643473615
group_15371,0.0031175607683891077,0.000749520603212609,0.022860651444447037
group_21315,0.010508277427101781,0.0,0.02285629585347986
fecD,0.010167957234252012,3.411720610394877e-05,0.022848001851738114
ynbA,0.010502170433435903,0.0,0.022843012679811613
group_5986,0.009218192439917616,0.00013007605600639708,0.02284082980312948
group_13700,0.010484055009964799,0.0,0.02280361026199268
group_20723,0.0074047164475315175,0.00031008318008286947,0.022758137105605213
group_1116,0.010186298060101767,2.791111555536843e-05,0.022754753136055537
group_7313,0.006687232054757047,0.00038053884163513906,0.022709063824959304
thiH,0.010439050723342558,0.0,0.022705722530692272
group_13870,0.009167438180498477,0.00012815258924229138,0.022689170649777317
ynfH,0.005565321647574159,0.0004928431822382443,0.022678127481713987
group_10359,0.0071263647803698205,0.0003336752645165715,0.02265883027489092
group_15623,0.010416603955628559,0.0,0.02265689911115906
group_6192,0.010415570669353912,0.0,0.022654651635267305
gcl,0.010080723004574355,3.392934522720986e-05,0.022654230552305525
group_9810,0.008969403030326006,0.00014612042657310192,0.022643899412737912
malX,0.008951052648910357,0.00014742927266254017,0.02263206507011722
group_10747,0.008150917684657005,0.00022837252793357854,0.02262821450264032
group_9167,0.009572998279740785,8.387752673989589e-05,0.0226214463918296
group_10968,0.009790166234094122,5.996450514594177e-05,0.022580788838544686
fepA_2,0.008797706315076037,0.00016020668056387907,0.022572643320122907
yfcV,0.009923448215129499,4.6017803901275704e-05,0.022571483848519935
aafC,0.010268014327238291,1.034287764175086e-05,0.022555594738481333
group_19052,0.010360775804951886,0.0,0.0225354686559158
group_19053,0.010360775804951886,0.0,0.0225354686559158
group_26344,0.010360775804951886,0.0,0.0225354686559158
ybl186,0.008655830357633676,0.0001717340287312007,0.022511352544798063
group_10291,0.010347574278256694,0.0,0.02250675433568357
group_3512,0.00958002399149728,7.780363631627979e-05,0.022506422581041192
group_20610,0.010101115845922354,2.4217948020891514e-05,0.02249024457316523
group_7603,0.01033462366700294,0.0,0.022478585775536748
group_13721,0.008625306220498938,0.00017322279165744544,0.022476899179590247
group_4734,0.008155641105384748,0.00022059735241343657,0.02247168477865271
luxO,0.010329807127562679,0.0,0.022468109437527358
group_4300,0.008322343623373918,0.00020302319436936895,0.022457250905567445
group_17002,0.010318464965157564,0.0,0.022443439375424236
group_21323,0.005537232459826055,0.00048275042436620575,0.022400507956168617
group_24190,0.009591832790471488,7.020671961915358e-05,0.022369128339275342
group_20616,0.009887331677995825,3.997085097035344e-05,0.022363200278819315
yahK,0.008523138982816703,0.00017673553668298792,0.022330037831559207
group_26304,0.009580167236305948,6.911113689569809e-05,0.022320250961620765
group_12235,0.009659404542795597,6.0634929246759065e-05,0.022310755097628365
yjaA,0.009085132642684818,0.00011845092465170453,0.022302016716407257
group_2854,0.010253262384592066,0.0,0.022301618825305028
motA,0.010240580160134322,0.0,0.022274034026762802
gspO,0.007615815032727569,0.0002646266011398984,0.022242096849583743
group_6614,0.008386629150906405,0.00018551061180091172,0.022221373322744847
kefF_2,0.010215584884607817,0.0,0.022219667409754614
djlB,0.008326504178407024,0.00019109929558955708,0.02221049291527176
group_2263,0.006033984030599848,0.00042333183480010804,0.022206252745742727
group_21565,0.010205445906633762,0.0,0.022197614364898782
group_11695,0.005502035725437365,0.0004764849197093714,0.02218953636154456
group_16587,0.008971017314257701,0.0001247042587828856,0.022187962169441487
ycgG,0.006919808278091633,0.0003305319191447814,0.022142118968924936
group_14746,0.008622984056260607,0.00015658248912635265,0.022114858147828653
group_3112,0.0077492911333021525,0.00024361932214076397,0.022081741074810275
group_2843,0.009643636002271999,5.1547815195038974e-05,0.022081508336442054
fecA_2,0.010150103821502665,0.0,0.022077241139023897
group_13879,0.009422188630908462,7.109314010914525e-05,0.022019156130578758
group_3283,0.009605594114847807,5.230318476023969e-05,0.02201496955439258
cusC,0.010119445483486256,0.0,0.022010556932271375
group_24917,0.009380134885505237,7.346352841428706e-05,0.021978538807607743
group_18740,0.010102674013573232,0.0,0.02197407771521058
group_21086,0.010102674013573232,0.0,0.02197407771521058
group_9675,0.0048046027016923065,0.0005370332317135473,0.021971530540444484
group_19050,0.010093825456913078,0.0,0.021954831434428126
xerC_1,0.009692922788093,4.043463201836929e-05,0.02195029587665513
group_10003,0.010091064711716419,0.0,0.02194882660457119
group_24357,0.009703528522322369,3.77708809160255e-05,0.021916217780702935
papG,0.0064267139891449054,0.00036992370405337894,0.021914687097596197
sfmD,0.008226233253453813,0.00018706773810922312,0.02190590566766933
ybl213,0.008267616365221303,0.00018266253983678695,0.021901410831755813
group_6924,0.008447579354097956,0.00016399964772717258,0.02189246249962034
kpdD,0.00923898885206853,8.353450807531225e-05,0.02188759169646551
rpiB,0.008387245195923362,0.0001695907357360664,0.021881178676029428
kpdB,0.010056930688019938,0.0,0.021874582518272276
group_10953,0.009586813614803624,4.7618318334830295e-05,0.021873614489638607
group_24931,0.010054887195695306,0.0,0.021870137767725128
group_20952,0.010054887195695306,0.0,0.021870137767725128
pld1,0.010054887195695306,0.0,0.021870137767725128
hcaR_2,0.010054887195695306,0.0,0.021870137767725128
group_8811,0.009062178225551859,0.00010060059782947095,0.02186913990384517
group_16704,0.009659486776426196,3.951664752013993e-05,0.021857876181364352
thiP,0.010044099468469125,0.0,0.021846673644120143
hns_1,0.010024464880720452,0.0,0.02180396692896056
ygaV_2,0.01002375724890378,0.0,0.021802427776174707
group_11378,0.01001734170361035,0.0,0.02178847347935182
nhaB,0.009234618746538803,7.925180561501956e-05,0.021786208093222886
group_12741,0.009840552053221388,1.7512704199637846e-05,0.02177964868511397
group_2309,0.01000266770485661,0.0,0.021756556420891023
ycgF,0.009688979253486107,3.068614582358408e-05,0.021732580754109384
group_1335,0.007798550808161067,0.00022160050529667082,0.02171650732669244
yjiR,0.006570579052315506,0.000346088834673683,0.021716266831616732
group_10028,0.009038916140974532,9.57030330512351e-05,0.021713473962255463
group_10785,0.009981277376261727,0.0,0.021710030836439506
group_9611,0.009980308961613726,0.0,0.021707924461248036
group_24355,0.009703528522322369,2.7973420496605236e-05,0.021706029483616603
arsB,0.00901837089420951,9.717329801525868e-05,0.021700328596078945
group_8211,0.009627554972301389,3.5405275714535205e-05,0.021700219412219345
N,0.009974471137038698,0.0,0.021695226750734906
group_7299,0.002473745480503678,0.0007600871823899664,0.02168699290817085
psuK_1,0.009960660778279506,0.0,0.02166518817466038
group_26338,0.009341570286599585,6.133183145347054e-05,0.02163439240614544
group_215,0.009938364748718762,0.0,0.021616692622024966
group_27483,0.009938364748718762,0.0,0.021616692622024966
ccp,0.007813729865219846,0.00021504587511568657,0.02160890418353846
group_9658,0.005247956687385813,0.0004750132060723363,0.021605322033760165
group_12928,0.008671948364334714,0.0001270183803504733,0.02158711020473922
group_5604,0.007649976809377415,0.00023054432322505036,0.021585222439088187
group_7013,0.0076639261842065265,0.000229056520506927,0.021583645040852705
group_24396,0.007372130976061847,0.0002569829498507979,0.021548083686584698
yjiA_2,0.008641270096788597,0.00012773795760682467,0.02153581998878115
pitA,0.00877091116394682,0.00011443731649759551,0.021532455886252588
group_14121,0.009887331677995825,0.0,0.02150569182878291
group_8324,0.008556554325989202,0.00013455387847383058,0.021497781073157633
group_12908,0.009819945463376084,5.942261535163628e-06,0.021486603095178268
group_4490,0.00857133513756575,0.0001324554524410409,0.02148491220026104
yhbU_3,0.008649101484596564,0.00012368254101962194,0.02146585159970803
cjrB,0.00431236843363092,0.000562735041357678,0.02145227351925301
yeeL,0.009859191375427512,0.0,0.02144448453980529
group_11121,0.009722559607059311,1.32513453538396e-05,0.021431585778999184
group_12674,0.009842448938257031,0.0,0.021408068471157997
group_24990,0.007951315325722304,0.00019152979690459542,0.021403664443117185
orgA,0.009826548941560126,0.0,0.021373484774333554
group_14622,0.009824153611768055,0.0,0.02136827475065225
group_13102,0.009809310042488938,0.0,0.021335988863458225
yqeL,0.009369049020772333,4.3844869244520204e-05,0.021319006903021798
M,0.0069427453261398375,0.00028797416471345997,0.02127900260321841
group_8600,0.008401191695476762,0.00013986781423825658,0.02127385728363379
ydfQ_2,0.009588955344203696,1.9313295242748997e-05,0.02127103549172527
group_26303,0.009580167236305948,2.0091105369967435e-05,0.021268607320469805
uidB,0.00875501615121485,0.00010265308904689992,0.02124507193457338
group_12539,0.009352386899675602,4.160126930378645e-05,0.021234632804670323
group_12211,0.00976041533817934,0.0,0.021229639179090484
group_16552,0.007494264901185946,0.00022890712657366153,0.021211413903310807
group_8065,0.009677633159616034,7.270303077311496e-06,0.02120555399125338
group_10090,0.007272949555428787,0.0002503403326453291,0.021189850228658307
yjjQ,0.009738954069901329,0.0,0.021182959295456338
epsC,0.008489826735785147,0.000125659265972052,0.02116182432223794
group_12469,0.007675853180797776,0.00020747331668070245,0.021146555246825148
epaQ,0.0093983412345566,3.2087313558716975e-05,0.0211304807893355
cynT,0.009703546440908234,0.0,0.021105945021195012
group_24356,0.009703528522322369,0.0,0.02110590604691389
group_17135,0.005256336565549413,0.00045072202223564873,0.021102421759524693
group_3728,0.008538432297427456,0.00011788487003159393,0.021100758302255176
mobA_1,0.007787398706333715,0.00019387220798634805,0.021097385936282756
group_27524,0.00969689990515711,0.0,0.021091488302635162
besA,0.009043664239841653,6.61698075128045e-05,0.021090214964663286
group_8158,0.00531294899123036,0.0004437317694156272,0.021075593767915218
ygbK,0.009678253694260036,0.0,0.021050931381971488
